epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.423,2.68381,8.19102,2.90484,0.00441,0.38465,0.00732,0.00198,2.63166,4.63496,2.90997,0.000328348,0.000328348,0.000328348
2,190.152,2.55017,6.51336,2.79806,0.00133,0.3562,0.00373,0.00095,2.63446,4.99496,3.29123,0.00066166,0.00066166,0.00066166
3,267.125,2.57561,5.38687,2.90017,0.00167,0.41413,0.00214,0.0005,2.75245,4.6312,3.3233,0.000994615,0.000994615,0.000994615
4,345.131,2.60145,4.75427,2.92308,0.0017,0.35086,0.00359,0.00087,2.93155,3.98224,3.55788,0.00132695,0.00132695,0.00132695
5,424.847,2.57832,4.31897,2.91387,0.00081,0.25407,0.00152,0.00033,3.15354,5.17555,3.42792,0.00165839,0.00165839,0.00165839
6,500.136,2.56985,4.18112,2.95087,0.00161,0.40625,0.00404,0.00093,2.93157,3.89432,3.27807,0.00166142,0.00166142,0.00166142
7,577.998,2.5413,4.06821,2.97466,0.00427,0.36408,0.00412,0.00108,2.84712,4.57163,3.34386,0.00165897,0.00165897,0.00165897
8,657.548,2.54646,3.98155,2.98133,0.00189,0.47815,0.00336,0.00087,2.69433,3.92089,3.12454,0.00165608,0.00165608,0.00165608
9,737.063,2.52665,3.90957,2.92546,0.00227,0.49289,0.00669,0.00162,2.67471,3.70621,3.09509,0.00165274,0.00165274,0.00165274
10,815.992,2.50639,3.82359,2.91133,0.0014,0.3313,0.00555,0.00127,2.678,4.09465,3.20215,0.00164897,0.00164897,0.00164897
11,891.043,2.51323,3.86615,2.86123,0.00216,0.42048,0.00572,0.00151,2.70298,3.76826,3.10406,0.00164476,0.00164476,0.00164476
12,968.475,2.46373,3.77186,2.873,0.00209,0.51016,0.01404,0.00342,2.4347,3.68813,2.92882,0.00164011,0.00164011,0.00164011
13,1043.47,2.46337,3.74893,2.8669,0.00228,0.57724,0.0101,0.00235,2.47172,4.07527,2.95975,0.00163503,0.00163503,0.00163503
14,1122.8,2.43144,3.78257,2.82386,0.00279,0.53786,0.01698,0.00497,2.45775,3.59622,2.93648,0.00162953,0.00162953,0.00162953
15,1201.45,2.42145,3.65884,2.77058,0.00284,0.6438,0.02931,0.00784,2.42388,3.4618,2.85824,0.00162359,0.00162359,0.00162359
16,1279.16,2.3859,3.64867,2.7691,0.00277,0.6001,0.01428,0.00382,2.4367,3.51823,2.90712,0.00161724,0.00161724,0.00161724
17,1358.69,2.37386,3.6014,2.77089,0.00249,0.60671,0.02492,0.00604,2.37227,3.56178,2.87288,0.00161046,0.00161046,0.00161046
18,1431.69,2.35492,3.58694,2.77566,0.00231,0.57647,0.01814,0.00538,2.43556,3.71797,2.89454,0.00160327,0.00160327,0.00160327
19,1506.93,2.3676,3.59682,2.73577,0.00353,0.60163,0.01713,0.00444,2.40836,3.72438,2.89444,0.00159566,0.00159566,0.00159566
20,1584.32,2.36727,3.58422,2.76592,0.0026,0.70986,0.02609,0.00804,2.36833,3.55555,2.85839,0.00158765,0.00158765,0.00158765
